date,year,month,month_name,quarter,fy_year,fy_label
1982-04-01,1982,4,Apr,2,1981,FY81/82
1982-05-01,1982,5,May,2,1981,FY81/82
1982-06-01,1982,6,Jun,2,1981,FY81/82
1982-07-01,1982,7,Jul,3,1982,FY82/83
1982-08-01,1982,8,Aug,3,1982,FY82/83
1982-09-01,1982,9,Sep,3,1982,FY82/83
1982-10-01,1982,10,Oct,4,1982,FY82/83
1982-11-01,1982,11,Nov,4,1982,FY82/83
1982-12-01,1982,12,Dec,4,1982,FY82/83
1983-01-01,1983,1,Jan,1,1982,FY82/83
1983-02-01,1983,2,Feb,1,1982,FY82/83
1983-03-01,1983,3,Mar,1,1982,FY82/83
1983-04-01,1983,4,Apr,2,1982,FY82/83
1983-05-01,1983,5,May,2,1982,FY82/83
1983-06-01,1983,6,Jun,2,1982,FY82/83
1983-07-01,1983,7,Jul,3,1983,FY83/84
1983-08-01,1983,8,Aug,3,1983,FY83/84
1983-09-01,1983,9,Sep,3,1983,FY83/84
1983-10-01,1983,10,Oct,4,1983,FY83/84
1983-11-01,1983,11,Nov,4,1983,FY83/84
1983-12-01,1983,12,Dec,4,1983,FY83/84
1984-01-01,1984,1,Jan,1,1983,FY83/84
1984-02-01,1984,2,Feb,1,1983,FY83/84
1984-03-01,1984,3,Mar,1,1983,FY83/84
1984-04-01,1984,4,Apr,2,1983,FY83/84
1984-05-01,1984,5,May,2,1983,FY83/84
1984-06-01,1984,6,Jun,2,1983,FY83/84
1984-07-01,1984,7,Jul,3,1984,FY84/85
1984-08-01,1984,8,Aug,3,1984,FY84/85
1984-09-01,1984,9,Sep,3,1984,FY84/85
1984-10-01,1984,10,Oct,4,1984,FY84/85
1984-11-01,1984,11,Nov,4,1984,FY84/85
1984-12-01,1984,12,Dec,4,1984,FY84/85
1985-01-01,1985,1,Jan,1,1984,FY84/85
1985-02-01,1985,2,Feb,1,1984,FY84/85
1985-03-01,1985,3,Mar,1,1984,FY84/85
1985-04-01,1985,4,Apr,2,1984,FY84/85
1985-05-01,1985,5,May,2,1984,FY84/85
1985-06-01,1985,6,Jun,2,1984,FY84/85
1985-07-01,1985,7,Jul,3,1985,FY85/86
1985-08-01,1985,8,Aug,3,1985,FY85/86
1985-09-01,1985,9,Sep,3,1985,FY85/86
1985-10-01,1985,10,Oct,4,1985,FY85/86
1985-11-01,1985,11,Nov,4,1985,FY85/86
1985-12-01,1985,12,Dec,4,1985,FY85/86
1986-01-01,1986,1,Jan,1,1985,FY85/86
1986-02-01,1986,2,Feb,1,1985,FY85/86
1986-03-01,1986,3,Mar,1,1985,FY85/86
1986-04-01,1986,4,Apr,2,1985,FY85/86
1986-05-01,1986,5,May,2,1985,FY85/86
1986-06-01,1986,6,Jun,2,1985,FY85/86
1986-07-01,1986,7,Jul,3,1986,FY86/87
1986-08-01,1986,8,Aug,3,1986,FY86/87
1986-09-01,1986,9,Sep,3,1986,FY86/87
1986-10-01,1986,10,Oct,4,1986,FY86/87
1986-11-01,1986,11,Nov,4,1986,FY86/87
1986-12-01,1986,12,Dec,4,1986,FY86/87
1987-01-01,1987,1,Jan,1,1986,FY86/87
1987-02-01,1987,2,Feb,1,1986,FY86/87
1987-03-01,1987,3,Mar,1,1986,FY86/87
1987-04-01,1987,4,Apr,2,1986,FY86/87
1987-05-01,1987,5,May,2,1986,FY86/87
1987-06-01,1987,6,Jun,2,1986,FY86/87
1987-07-01,1987,7,Jul,3,1987,FY87/88
1987-08-01,1987,8,Aug,3,1987,FY87/88
1987-09-01,1987,9,Sep,3,1987,FY87/88
1987-10-01,1987,10,Oct,4,1987,FY87/88
1987-11-01,1987,11,Nov,4,1987,FY87/88
1987-12-01,1987,12,Dec,4,1987,FY87/88
1988-01-01,1988,1,Jan,1,1987,FY87/88
1988-02-01,1988,2,Feb,1,1987,FY87/88
1988-03-01,1988,3,Mar,1,1987,FY87/88
1988-04-01,1988,4,Apr,2,1987,FY87/88
1988-05-01,1988,5,May,2,1987,FY87/88
1988-06-01,1988,6,Jun,2,1987,FY87/88
1988-07-01,1988,7,Jul,3,1988,FY88/89
1988-08-01,1988,8,Aug,3,1988,FY88/89
1988-09-01,1988,9,Sep,3,1988,FY88/89
1988-10-01,1988,10,Oct,4,1988,FY88/89
1988-11-01,1988,11,Nov,4,1988,FY88/89
1988-12-01,1988,12,Dec,4,1988,FY88/89
1989-01-01,1989,1,Jan,1,1988,FY88/89
1989-02-01,1989,2,Feb,1,1988,FY88/89
1989-03-01,1989,3,Mar,1,1988,FY88/89
1989-04-01,1989,4,Apr,2,1988,FY88/89
1989-05-01,1989,5,May,2,1988,FY88/89
1989-06-01,1989,6,Jun,2,1988,FY88/89
1989-07-01,1989,7,Jul,3,1989,FY89/90
1989-08-01,1989,8,Aug,3,1989,FY89/90
1989-09-01,1989,9,Sep,3,1989,FY89/90
1989-10-01,1989,10,Oct,4,1989,FY89/90
1989-11-01,1989,11,Nov,4,1989,FY89/90
1989-12-01,1989,12,Dec,4,1989,FY89/90
1990-01-01,1990,1,Jan,1,1989,FY89/90
1990-02-01,1990,2,Feb,1,1989,FY89/90
1990-03-01,1990,3,Mar,1,1989,FY89/90
1990-04-01,1990,4,Apr,2,1989,FY89/90
1990-05-01,1990,5,May,2,1989,FY89/90
1990-06-01,1990,6,Jun,2,1989,FY89/90
1990-07-01,1990,7,Jul,3,1990,FY90/91
1990-08-01,1990,8,Aug,3,1990,FY90/91
1990-09-01,1990,9,Sep,3,1990,FY90/91
1990-10-01,1990,10,Oct,4,1990,FY90/91
1990-11-01,1990,11,Nov,4,1990,FY90/91
1990-12-01,1990,12,Dec,4,1990,FY90/91
1991-01-01,1991,1,Jan,1,1990,FY90/91
1991-02-01,1991,2,Feb,1,1990,FY90/91
1991-03-01,1991,3,Mar,1,1990,FY90/91
1991-04-01,1991,4,Apr,2,1990,FY90/91
1991-05-01,1991,5,May,2,1990,FY90/91
1991-06-01,1991,6,Jun,2,1990,FY90/91
1991-07-01,1991,7,Jul,3,1991,FY91/92
1991-08-01,1991,8,Aug,3,1991,FY91/92
1991-09-01,1991,9,Sep,3,1991,FY91/92
1991-10-01,1991,10,Oct,4,1991,FY91/92
1991-11-01,1991,11,Nov,4,1991,FY91/92
1991-12-01,1991,12,Dec,4,1991,FY91/92
1992-01-01,1992,1,Jan,1,1991,FY91/92
1992-02-01,1992,2,Feb,1,1991,FY91/92
1992-03-01,1992,3,Mar,1,1991,FY91/92
1992-04-01,1992,4,Apr,2,1991,FY91/92
1992-05-01,1992,5,May,2,1991,FY91/92
1992-06-01,1992,6,Jun,2,1991,FY91/92
1992-07-01,1992,7,Jul,3,1992,FY92/93
1992-08-01,1992,8,Aug,3,1992,FY92/93
1992-09-01,1992,9,Sep,3,1992,FY92/93
1992-10-01,1992,10,Oct,4,1992,FY92/93
1992-11-01,1992,11,Nov,4,1992,FY92/93
1992-12-01,1992,12,Dec,4,1992,FY92/93
1993-01-01,1993,1,Jan,1,1992,FY92/93
1993-02-01,1993,2,Feb,1,1992,FY92/93
1993-03-01,1993,3,Mar,1,1992,FY92/93
1993-04-01,1993,4,Apr,2,1992,FY92/93
1993-05-01,1993,5,May,2,1992,FY92/93
1993-06-01,1993,6,Jun,2,1992,FY92/93
1993-07-01,1993,7,Jul,3,1993,FY93/94
1993-08-01,1993,8,Aug,3,1993,FY93/94
1993-09-01,1993,9,Sep,3,1993,FY93/94
1993-10-01,1993,10,Oct,4,1993,FY93/94
1993-11-01,1993,11,Nov,4,1993,FY93/94
1993-12-01,1993,12,Dec,4,1993,FY93/94
1994-01-01,1994,1,Jan,1,1993,FY93/94
1994-02-01,1994,2,Feb,1,1993,FY93/94
1994-03-01,1994,3,Mar,1,1993,FY93/94
1994-04-01,1994,4,Apr,2,1993,FY93/94
1994-05-01,1994,5,May,2,1993,FY93/94
1994-06-01,1994,6,Jun,2,1993,FY93/94
1994-07-01,1994,7,Jul,3,1994,FY94/95
1994-08-01,1994,8,Aug,3,1994,FY94/95
1994-09-01,1994,9,Sep,3,1994,FY94/95
1994-10-01,1994,10,Oct,4,1994,FY94/95
1994-11-01,1994,11,Nov,4,1994,FY94/95
1994-12-01,1994,12,Dec,4,1994,FY94/95
1995-01-01,1995,1,Jan,1,1994,FY94/95
1995-02-01,1995,2,Feb,1,1994,FY94/95
1995-03-01,1995,3,Mar,1,1994,FY94/95
1995-04-01,1995,4,Apr,2,1994,FY94/95
1995-05-01,1995,5,May,2,1994,FY94/95
1995-06-01,1995,6,Jun,2,1994,FY94/95
1995-07-01,1995,7,Jul,3,1995,FY95/96
1995-08-01,1995,8,Aug,3,1995,FY95/96
1995-09-01,1995,9,Sep,3,1995,FY95/96
1995-10-01,1995,10,Oct,4,1995,FY95/96
1995-11-01,1995,11,Nov,4,1995,FY95/96
1995-12-01,1995,12,Dec,4,1995,FY95/96
1996-01-01,1996,1,Jan,1,1995,FY95/96
1996-02-01,1996,2,Feb,1,1995,FY95/96
1996-03-01,1996,3,Mar,1,1995,FY95/96
1996-04-01,1996,4,Apr,2,1995,FY95/96
1996-05-01,1996,5,May,2,1995,FY95/96
1996-06-01,1996,6,Jun,2,1995,FY95/96
1996-07-01,1996,7,Jul,3,1996,FY96/97
1996-08-01,1996,8,Aug,3,1996,FY96/97
1996-09-01,1996,9,Sep,3,1996,FY96/97
1996-10-01,1996,10,Oct,4,1996,FY96/97
1996-11-01,1996,11,Nov,4,1996,FY96/97
1996-12-01,1996,12,Dec,4,1996,FY96/97
1997-01-01,1997,1,Jan,1,1996,FY96/97
1997-02-01,1997,2,Feb,1,1996,FY96/97
1997-03-01,1997,3,Mar,1,1996,FY96/97
1997-04-01,1997,4,Apr,2,1996,FY96/97
1997-05-01,1997,5,May,2,1996,FY96/97
1997-06-01,1997,6,Jun,2,1996,FY96/97
1997-07-01,1997,7,Jul,3,1997,FY97/98
1997-08-01,1997,8,Aug,3,1997,FY97/98
