date,year,month,month_name,category,turnover_m
1982-04-01,1982,4,Apr,"Cafes, restaurants and takeaway food services",342.4
1982-05-01,1982,5,May,"Cafes, restaurants and takeaway food services",342.1
1982-06-01,1982,6,Jun,"Cafes, restaurants and takeaway food services",328.7
1982-07-01,1982,7,Jul,"Cafes, restaurants and takeaway food services",338.5
1982-08-01,1982,8,Aug,"Cafes, restaurants and takeaway food services",331.5
1982-09-01,1982,9,Sep,"Cafes, restaurants and takeaway food services",341.9
1982-10-01,1982,10,Oct,"Cafes, restaurants and takeaway food services",358.4
1982-11-01,1982,11,Nov,"Cafes, restaurants and takeaway food services",374.7
1982-12-01,1982,12,Dec,"Cafes, restaurants and takeaway food services",433.1
1983-01-01,1983,1,Jan,"Cafes, restaurants and takeaway food services",368.6
1983-02-01,1983,2,Feb,"Cafes, restaurants and takeaway food services",348.1
1983-03-01,1983,3,Mar,"Cafes, restaurants and takeaway food services",365.8
1983-04-01,1983,4,Apr,"Cafes, restaurants and takeaway food services",351.1
1983-05-01,1983,5,May,"Cafes, restaurants and takeaway food services",360.5
1983-06-01,1983,6,Jun,"Cafes, restaurants and takeaway food services",347.1
1983-07-01,1983,7,Jul,"Cafes, restaurants and takeaway food services",364.5
1983-08-01,1983,8,Aug,"Cafes, restaurants and takeaway food services",376.0
1983-09-01,1983,9,Sep,"Cafes, restaurants and takeaway food services",377.6
1983-10-01,1983,10,Oct,"Cafes, restaurants and takeaway food services",374.1
1983-11-01,1983,11,Nov,"Cafes, restaurants and takeaway food services",390.6
1983-12-01,1983,12,Dec,"Cafes, restaurants and takeaway food services",459.0
1984-01-01,1984,1,Jan,"Cafes, restaurants and takeaway food services",388.8
1984-02-01,1984,2,Feb,"Cafes, restaurants and takeaway food services",377.1
1984-03-01,1984,3,Mar,"Cafes, restaurants and takeaway food services",397.8
1984-04-01,1984,4,Apr,"Cafes, restaurants and takeaway food services",383.3
1984-05-01,1984,5,May,"Cafes, restaurants and takeaway food services",414.0
1984-06-01,1984,6,Jun,"Cafes, restaurants and takeaway food services",381.5
1984-07-01,1984,7,Jul,"Cafes, restaurants and takeaway food services",393.0
1984-08-01,1984,8,Aug,"Cafes, restaurants and takeaway food services",409.0
1984-09-01,1984,9,Sep,"Cafes, restaurants and takeaway food services",394.7
1984-10-01,1984,10,Oct,"Cafes, restaurants and takeaway food services",424.5
1984-11-01,1984,11,Nov,"Cafes, restaurants and takeaway food services",436.5
1984-12-01,1984,12,Dec,"Cafes, restaurants and takeaway food services",488.1
1985-01-01,1985,1,Jan,"Cafes, restaurants and takeaway food services",425.6
1985-02-01,1985,2,Feb,"Cafes, restaurants and takeaway food services",391.8
1985-03-01,1985,3,Mar,"Cafes, restaurants and takeaway food services",416.1
1985-04-01,1985,4,Apr,"Cafes, restaurants and takeaway food services",419.8
1985-05-01,1985,5,May,"Cafes, restaurants and takeaway food services",446.2
1985-06-01,1985,6,Jun,"Cafes, restaurants and takeaway food services",406.8
1985-07-01,1985,7,Jul,"Cafes, restaurants and takeaway food services",448.5
1985-08-01,1985,8,Aug,"Cafes, restaurants and takeaway food services",466.0
1985-09-01,1985,9,Sep,"Cafes, restaurants and takeaway food services",455.2
1985-10-01,1985,10,Oct,"Cafes, restaurants and takeaway food services",493.6
1985-11-01,1985,11,Nov,"Cafes, restaurants and takeaway food services",505.6
1985-12-01,1985,12,Dec,"Cafes, restaurants and takeaway food services",563.9
1986-01-01,1986,1,Jan,"Cafes, restaurants and takeaway food services",504.3
1986-02-01,1986,2,Feb,"Cafes, restaurants and takeaway food services",452.9
1986-03-01,1986,3,Mar,"Cafes, restaurants and takeaway food services",480.3
1986-04-01,1986,4,Apr,"Cafes, restaurants and takeaway food services",497.2
1986-05-01,1986,5,May,"Cafes, restaurants and takeaway food services",530.8
1986-06-01,1986,6,Jun,"Cafes, restaurants and takeaway food services",484.8
1986-07-01,1986,7,Jul,"Cafes, restaurants and takeaway food services",526.3
1986-08-01,1986,8,Aug,"Cafes, restaurants and takeaway food services",538.4
1986-09-01,1986,9,Sep,"Cafes, restaurants and takeaway food services",537.4
1986-10-01,1986,10,Oct,"Cafes, restaurants and takeaway food services",570.4
1986-11-01,1986,11,Nov,"Cafes, restaurants and takeaway food services",563.8
1986-12-01,1986,12,Dec,"Cafes, restaurants and takeaway food services",663.2
1987-01-01,1987,1,Jan,"Cafes, restaurants and takeaway food services",571.6
1987-02-01,1987,2,Feb,"Cafes, restaurants and takeaway food services",525.1
1987-03-01,1987,3,Mar,"Cafes, restaurants and takeaway food services",543.6
1987-04-01,1987,4,Apr,"Cafes, restaurants and takeaway food services",558.1
1987-05-01,1987,5,May,"Cafes, restaurants and takeaway food services",565.1
1987-06-01,1987,6,Jun,"Cafes, restaurants and takeaway food services",542.3
1987-07-01,1987,7,Jul,"Cafes, restaurants and takeaway food services",598.6
1987-08-01,1987,8,Aug,"Cafes, restaurants and takeaway food services",583.7
1987-09-01,1987,9,Sep,"Cafes, restaurants and takeaway food services",592.7
1987-10-01,1987,10,Oct,"Cafes, restaurants and takeaway food services",623.3
1987-11-01,1987,11,Nov,"Cafes, restaurants and takeaway food services",621.9
1987-12-01,1987,12,Dec,"Cafes, restaurants and takeaway food services",739.8
1988-01-01,1988,1,Jan,"Cafes, restaurants and takeaway food services",605.0
1988-02-01,1988,2,Feb,"Cafes, restaurants and takeaway food services",586.1
1988-03-01,1988,3,Mar,"Cafes, restaurants and takeaway food services",625.3
1988-04-01,1988,4,Apr,"Cafes, restaurants and takeaway food services",611.9
1988-05-01,1988,5,May,"Cafes, restaurants and takeaway food services",630.5
1988-06-01,1988,6,Jun,"Cafes, restaurants and takeaway food services",635.5
1988-07-01,1988,7,Jul,"Cafes, restaurants and takeaway food services",658.7
1988-08-01,1988,8,Aug,"Cafes, restaurants and takeaway food services",656.4
1988-09-01,1988,9,Sep,"Cafes, restaurants and takeaway food services",660.0
1988-10-01,1988,10,Oct,"Cafes, restaurants and takeaway food services",670.2
1988-11-01,1988,11,Nov,"Cafes, restaurants and takeaway food services",670.8
1988-12-01,1988,12,Dec,"Cafes, restaurants and takeaway food services",773.9
1989-01-01,1989,1,Jan,"Cafes, restaurants and takeaway food services",732.8
1989-02-01,1989,2,Feb,"Cafes, restaurants and takeaway food services",660.7
1989-03-01,1989,3,Mar,"Cafes, restaurants and takeaway food services",713.2
1989-04-01,1989,4,Apr,"Cafes, restaurants and takeaway food services",693.9
1989-05-01,1989,5,May,"Cafes, restaurants and takeaway food services",710.0
1989-06-01,1989,6,Jun,"Cafes, restaurants and takeaway food services",721.7
1989-07-01,1989,7,Jul,"Cafes, restaurants and takeaway food services",741.3
1989-08-01,1989,8,Aug,"Cafes, restaurants and takeaway food services",745.5
1989-09-01,1989,9,Sep,"Cafes, restaurants and takeaway food services",766.9
1989-10-01,1989,10,Oct,"Cafes, restaurants and takeaway food services",793.7
1989-11-01,1989,11,Nov,"Cafes, restaurants and takeaway food services",807.5
1989-12-01,1989,12,Dec,"Cafes, restaurants and takeaway food services",942.7
1990-01-01,1990,1,Jan,"Cafes, restaurants and takeaway food services",857.5
1990-02-01,1990,2,Feb,"Cafes, restaurants and takeaway food services",764.4
1990-03-01,1990,3,Mar,"Cafes, restaurants and takeaway food services",840.3
1990-04-01,1990,4,Apr,"Cafes, restaurants and takeaway food services",804.6
1990-05-01,1990,5,May,"Cafes, restaurants and takeaway food services",808.9
