date,year,month,month_name,category,turnover_m,r12m_turnover,r12m_prior,yoy_growth_pct
1982-04-01,1982,4,Apr,"Cafes, restaurants and takeaway food services",342.4,,,
1982-05-01,1982,5,May,"Cafes, restaurants and takeaway food services",342.1,,,
1982-06-01,1982,6,Jun,"Cafes, restaurants and takeaway food services",328.7,,,
1982-07-01,1982,7,Jul,"Cafes, restaurants and takeaway food services",338.5,,,
1982-08-01,1982,8,Aug,"Cafes, restaurants and takeaway food services",331.5,,,
1982-09-01,1982,9,Sep,"Cafes, restaurants and takeaway food services",341.9,,,
1982-10-01,1982,10,Oct,"Cafes, restaurants and takeaway food services",358.4,,,
1982-11-01,1982,11,Nov,"Cafes, restaurants and takeaway food services",374.7,,,
1982-12-01,1982,12,Dec,"Cafes, restaurants and takeaway food services",433.1,,,
1983-01-01,1983,1,Jan,"Cafes, restaurants and takeaway food services",368.6,,,
1983-02-01,1983,2,Feb,"Cafes, restaurants and takeaway food services",348.1,,,
1983-03-01,1983,3,Mar,"Cafes, restaurants and takeaway food services",365.8,4273.8,,
1983-04-01,1983,4,Apr,"Cafes, restaurants and takeaway food services",351.1,4282.5,,
1983-05-01,1983,5,May,"Cafes, restaurants and takeaway food services",360.5,4300.9,,
1983-06-01,1983,6,Jun,"Cafes, restaurants and takeaway food services",347.1,4319.3,,
1983-07-01,1983,7,Jul,"Cafes, restaurants and takeaway food services",364.5,4345.3,,
1983-08-01,1983,8,Aug,"Cafes, restaurants and takeaway food services",376.0,4389.8,,
1983-09-01,1983,9,Sep,"Cafes, restaurants and takeaway food services",377.6,4425.5,,
1983-10-01,1983,10,Oct,"Cafes, restaurants and takeaway food services",374.1,4441.2,,
1983-11-01,1983,11,Nov,"Cafes, restaurants and takeaway food services",390.6,4457.1,,
1983-12-01,1983,12,Dec,"Cafes, restaurants and takeaway food services",459.0,4483.0,,
1984-01-01,1984,1,Jan,"Cafes, restaurants and takeaway food services",388.8,4503.200000000001,,
1984-02-01,1984,2,Feb,"Cafes, restaurants and takeaway food services",377.1,4532.2,,
1984-03-01,1984,3,Mar,"Cafes, restaurants and takeaway food services",397.8,4564.2,4273.8,6.8
1984-04-01,1984,4,Apr,"Cafes, restaurants and takeaway food services",383.3,4596.400000000001,4282.5,7.3
1984-05-01,1984,5,May,"Cafes, restaurants and takeaway food services",414.0,4649.900000000001,4300.9,8.1
1984-06-01,1984,6,Jun,"Cafes, restaurants and takeaway food services",381.5,4684.3,4319.3,8.5
1984-07-01,1984,7,Jul,"Cafes, restaurants and takeaway food services",393.0,4712.8,4345.3,8.5
1984-08-01,1984,8,Aug,"Cafes, restaurants and takeaway food services",409.0,4745.8,4389.8,8.1
1984-09-01,1984,9,Sep,"Cafes, restaurants and takeaway food services",394.7,4762.9,4425.5,7.6
1984-10-01,1984,10,Oct,"Cafes, restaurants and takeaway food services",424.5,4813.3,4441.2,8.4
1984-11-01,1984,11,Nov,"Cafes, restaurants and takeaway food services",436.5,4859.2,4457.1,9.0
1984-12-01,1984,12,Dec,"Cafes, restaurants and takeaway food services",488.1,4888.3,4483.0,9.0
1985-01-01,1985,1,Jan,"Cafes, restaurants and takeaway food services",425.6,4925.099999999999,4503.200000000001,9.4
1985-02-01,1985,2,Feb,"Cafes, restaurants and takeaway food services",391.8,4939.8,4532.2,9.0
1985-03-01,1985,3,Mar,"Cafes, restaurants and takeaway food services",416.1,4958.1,4564.2,8.6
1985-04-01,1985,4,Apr,"Cafes, restaurants and takeaway food services",419.8,4994.6,4596.400000000001,8.7
1985-05-01,1985,5,May,"Cafes, restaurants and takeaway food services",446.2,5026.8,4649.900000000001,8.1
1985-06-01,1985,6,Jun,"Cafes, restaurants and takeaway food services",406.8,5052.1,4684.3,7.9
1985-07-01,1985,7,Jul,"Cafes, restaurants and takeaway food services",448.5,5107.6,4712.8,8.4
1985-08-01,1985,8,Aug,"Cafes, restaurants and takeaway food services",466.0,5164.6,4745.8,8.8
1985-09-01,1985,9,Sep,"Cafes, restaurants and takeaway food services",455.2,5225.1,4762.9,9.7
1985-10-01,1985,10,Oct,"Cafes, restaurants and takeaway food services",493.6,5294.200000000001,4813.3,10.0
1985-11-01,1985,11,Nov,"Cafes, restaurants and takeaway food services",505.6,5363.3,4859.2,10.4
1985-12-01,1985,12,Dec,"Cafes, restaurants and takeaway food services",563.9,5439.1,4888.3,11.3
1986-01-01,1986,1,Jan,"Cafes, restaurants and takeaway food services",504.3,5517.8,4925.099999999999,12.0
1986-02-01,1986,2,Feb,"Cafes, restaurants and takeaway food services",452.9,5578.900000000001,4939.8,12.9
1986-03-01,1986,3,Mar,"Cafes, restaurants and takeaway food services",480.3,5643.1,4958.1,13.8
1986-04-01,1986,4,Apr,"Cafes, restaurants and takeaway food services",497.2,5720.5,4994.6,14.5
1986-05-01,1986,5,May,"Cafes, restaurants and takeaway food services",530.8,5805.1,5026.8,15.5
1986-06-01,1986,6,Jun,"Cafes, restaurants and takeaway food services",484.8,5883.099999999999,5052.1,16.4
1986-07-01,1986,7,Jul,"Cafes, restaurants and takeaway food services",526.3,5960.9,5107.6,16.7
1986-08-01,1986,8,Aug,"Cafes, restaurants and takeaway food services",538.4,6033.299999999999,5164.6,16.8
1986-09-01,1986,9,Sep,"Cafes, restaurants and takeaway food services",537.4,6115.5,5225.1,17.0
1986-10-01,1986,10,Oct,"Cafes, restaurants and takeaway food services",570.4,6192.299999999999,5294.200000000001,17.0
1986-11-01,1986,11,Nov,"Cafes, restaurants and takeaway food services",563.8,6250.5,5363.3,16.5
1986-12-01,1986,12,Dec,"Cafes, restaurants and takeaway food services",663.2,6349.8,5439.1,16.7
1987-01-01,1987,1,Jan,"Cafes, restaurants and takeaway food services",571.6,6417.1,5517.8,16.3
1987-02-01,1987,2,Feb,"Cafes, restaurants and takeaway food services",525.1,6489.299999999999,5578.900000000001,16.3
1987-03-01,1987,3,Mar,"Cafes, restaurants and takeaway food services",543.6,6552.6,5643.1,16.1
1987-04-01,1987,4,Apr,"Cafes, restaurants and takeaway food services",558.1,6613.5,5720.5,15.6
1987-05-01,1987,5,May,"Cafes, restaurants and takeaway food services",565.1,6647.8,5805.1,14.5
1987-06-01,1987,6,Jun,"Cafes, restaurants and takeaway food services",542.3,6705.3,5883.099999999999,14.0
1987-07-01,1987,7,Jul,"Cafes, restaurants and takeaway food services",598.6,6777.6,5960.9,13.7
1987-08-01,1987,8,Aug,"Cafes, restaurants and takeaway food services",583.7,6822.900000000001,6033.299999999999,13.1
1987-09-01,1987,9,Sep,"Cafes, restaurants and takeaway food services",592.7,6878.2,6115.5,12.5
1987-10-01,1987,10,Oct,"Cafes, restaurants and takeaway food services",623.3,6931.1,6192.299999999999,11.9
1987-11-01,1987,11,Nov,"Cafes, restaurants and takeaway food services",621.9,6989.2,6250.5,11.8
1987-12-01,1987,12,Dec,"Cafes, restaurants and takeaway food services",739.8,7065.8,6349.8,11.3
1988-01-01,1988,1,Jan,"Cafes, restaurants and takeaway food services",605.0,7099.2,6417.1,10.6
1988-02-01,1988,2,Feb,"Cafes, restaurants and takeaway food services",586.1,7160.200000000001,6489.299999999999,10.3
1988-03-01,1988,3,Mar,"Cafes, restaurants and takeaway food services",625.3,7241.9,6552.6,10.5
1988-04-01,1988,4,Apr,"Cafes, restaurants and takeaway food services",611.9,7295.7,6613.5,10.3
